make,model,colour,capacity,network,grade,condition
"Sony Ericsson","VODAFONE VH410",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",24
"Sony Ericsson","W20i Zylo",Working,"Grade C - Acceptable Condition","Not Applicable",Black,O2,1
"Sony Ericsson",W302,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
"Sony Ericsson",W550,Working,"Grade B - Good Condition","Not Applicable",Orange,"EE Network",1
"Sony Ericsson","Xperia E","Working - Minor Issue","Grade C - Acceptable Condition",Unknown,White,Unlocked,1
"Sony Ericsson","Xperia Sola",Working,"Grade B - Good Condition",8GB,Red,Unlocked,1
"Sony Ericsson","Xperia Tipo",Working,"Grade B B2B","Not Applicable",White,NOS-Portugal,7
"Sony Ericsson","Xperia X10 Mini",BER,"Grade D","Not Applicable",Red,Unknown,2
"Sony Ericsson","Xperia X8",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Foreign,2
"Sony Ericsson","YENDO W150I",Working,"Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,2
"Sony Ericsson",Z610I,BER,"Grade D","Not Applicable",Pink,Unlocked,1
SPECK,"BALANCE FOLIO CASE FOR IPAD 10.5-INCH",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",12
SPECK,"BALANCE FOLIO CASE FOR IPAD 9.7-INCH",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",11
SPECK,"FITFOLIO TABLET CASE - SPK-A2119",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",5
SPECK,"SAMSUNG TAB 4  10.1 STYLEFOLIO",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",4
SPECK,"STYLE FOLIO CASE FOR IPAD MINI 4",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",6
Sphero,2.0,Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",8
Sphero,"2.0 - FBA UK","Brand New","Brand New","Not Applicable",White,"Not Applicable",21
Sphero,"BB-8 STAR WARS DROID",Working,"Grade B - Good Condition","Not Applicable","ORANGE WHITE","Not Applicable",76
SPV,C500,BER,"Grade A - Very Good Condition","Not Applicable",Black,Orange,3
STEELSERIES,"ARCTIS 3",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",1
STI:L,"CHAIN VEIL FOR IPHONE 6",Working,"Insurance Grade","Not Applicable",Silver,"Not Applicable",70
STI:L,"CHAIN VEIL FOR SAMSUNG GALAXY S7 EDGE","Brand New","Insurance Grade","Not Applicable","ROSE GOLD","Not Applicable",49
STI:L,"KAISER CASE FOR IPHONE 6/6S",Working,"Grade A - Very Good Condition","Not Applicable",Silver,"Not Applicable",708
STI:L,"KAISER CASE FOR IPHONE 6/6S - FBA UK","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",1
STI:L,"KAISER FOR SAMSUNG GALAXY S7 EDGE","Brand New","Insurance Grade","Not Applicable",Grey,"Not Applicable",49
STI:L,"LIBERTA FOR IPHONE 6/6S",Working,"Grade A - Very Good Condition","Not Applicable","Black Leather","Not Applicable",126
STI:L,"PAVIS GENTELMAN FOR IPHONE 6/6S","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",22
STI:L,"URBAN KNIGHT CASE FOR APPLE IPHONE 6/6S",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",25
STK,"MAGNETIC DATA CABLE FOR IPHONE 5S/5C/5 - ORANGE","Brand New","Insurance Grade","Not Applicable",Orange,"Not Applicable",1
SUPCASE,"UNICORN BEETLE CASE FOR IPHONE 5/5S/SE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",1
SUPCASE,"UNICORN BEETLE CASE FOR SAMSUNG GALAXY S7",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",5
SUPERTOOTH,BUDDY,Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
SUPERTOOTH,"TALK N GO",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",160
SUPERTOOTH,"TALK N GO - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
SUPERTOOTH,"VISOR GO","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
SUPERTOOTH,"VISOR ONE BLUETOOTH HANDSFREE CAR KIT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
SWISS,"BLUETOOTH EARPIECE - SCS10001","Brand New","Brand New","Not Applicable",Black,"Not Applicable",12
TABZOO,"CASE COVER WITH ZIP AND BUILT-IN STAND FOR TABLETS UP TO 8 INCHES - MONKEY","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",7
TABZOO,"UNIVERSAL 10 INCH APP FOLIO TABLET CASE - TIGER","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",1069
TABZOO,"UNIVERSAL 7 INCH APP FOLIO STRAP TABLET CASE - PLUSH CAT","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",236
TABZOO,"UNIVERSAL 7-10 INCH TABLET TRAVELLER CASE - TIGER","Brand New","Brand New","Not Applicable",Orange,"Not Applicable",232
TARGUS,"CLICK-IN PROTECTIVE CASE FOR IPAD AIR 2 / IPAD AIR","Brand New","Brand New","Not Applicable",Black,"Not Applicable",26
TARGUS,"CLICK-IN PROTECTIVE CASE FOR IPAD MINI 4,3,2 & 1","Brand New","Brand New","Not Applicable",Black,"Not Applicable",33
TARGUS,"LINX FORM FIT FOR 8-INCH TABLET","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
TARGUS,"UNIVERSAL FOLIO STAND FOR 7-8 INCH TABLET - THZ456EU",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
TARGUS,"VERSAVU - THZ183EU",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TARGUS,"VERSAVU - THZ196EU",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
TARGUS,"VERSAVU PREMIUM 360 ROTATING PROTECTIVE CASE FOR IPAD AIR 2 / IPAD AIR",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",28
TECDESK,5500,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
TECDESK,"NEO 1000U",Working,"Grade B - Good Condition","Not Applicable",Black,Vodafone-Spain,2
TECDESK,"NEO 3600",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,20
TECDESK,NEO1000V,Working,"Grade B - Good Condition","Not Applicable",Black,Vodafone-Spain,4
TECDESK,TD3500,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,15
TECDESK,"TD3500 3G DESKPHONE",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,42
"Tech Air","TAXUT038 - 7 INCH/17.8CM","Brand New","Insurance Grade","Not Applicable",Purple,"Not Applicable",1
"Tech Air","TAXUT039 - 10.1 INCH","Brand New","Insurance Grade","Not Applicable",Purple,"Not Applicable",1
TECH21,"	EVO MESH CASE FOR APPLE IPHONE 5/5S/SE - T21-5174",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",1
TECH21," EVO WALLET FOR SAMSUNG GALAXY S7 EDGE",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",33
TECH21," IMPACT FRAME WITH COVER FOR SAMSUNG GALAXY S5",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TECH21," T21-5863 - EVO GLASS FOR IPHONE X","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",3
TECH21,"CLASSIC FRAME CASE FOR IPHONE 6",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",1
TECH21,"CLASSIC FRAME CASE FOR IPHONE 6 PLUS/6S PLUS",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",4
TECH21,"CLASSIC SHELL FOR IPHONE 6 - T21-4249",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",15
TECH21,"D30 - IMPACT SLIP UNIVERSAL LARGE PROTECTION CASE T21-1191 ",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TECH21,"D30 - IMPACT SLIP UNIVERSAL MEDIUM PROTECTION CASE T21-1190 ",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",4
TECH21,"D30 IMPACT FLIP CASE FOR IPHONE 5/5S - T21-3582","Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",1
TECH21,"EVO BAND CASE FOR APPLE IPHONE 6/6S - T21-5003",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",1
TECH21,"EVO BAND CASE FOR IPHONE 6/6S - T21-5001",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",181
TECH21,"EVO BAND DURABLE IMPACT RESISTANT CASE FOR IPHONE 6 PLUS/6S - T21-5010",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",38
TECH21,"EVO BAND DURABLE IMPACT RESISTANT CASE FOR IPHONE 6/6S - T21-5000",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",89
TECH21,"EVO BAND FOR IPHONE 6 PLUS/6S PLUS - T21-5011",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",128
TECH21,"EVO CHECK CASE FOR HTC ONE M9",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",70
TECH21,"EVO CHECK CASE FOR IPHONE 7 - T21-5329",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",55
TECH21,"EVO CHECK CASE FOR IPHONE 7 - T21-5330",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",30
TECH21,"EVO CHECK CASE FOR IPHONE 7 - T21-5331",Working,"Insurance Grade","Not Applicable",Pink,"Not Applicable",46
TECH21,"EVO CHECK CASE FOR IPHONE 7 PLUS - T21-5347",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",18
TECH21,"EVO CHECK CASE FOR IPHONE 7 PLUS - T21-5349",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",21
TECH21,"EVO CHECK CASE FOR LG G5 - T21-4527",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",40
TECH21,"EVO CHECK CASE FOR LG G5 - T21-4527 - FBA GERMANY",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",9
TECH21,"EVO CHECK CASE FOR MICROSOFT LUMIA 640 - T21-4487",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",4
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S6","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S6 - T21-4426",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",81
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S6 - T21-4427",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",36
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S8 - T21-5585",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",78
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S8 - T21-5664",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",12
TECH21,"EVO CHECK CASE FOR SAMSUNG GALAXY S8+ - T21-5604",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",41
TECH21,"EVO CHECK CASE FOR SONY XPERIA Z5 - T21-5128",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",70
TECH21,"EVO CHECK CASE FOR SONY XPERIA Z5 - T21-5128 - FBA GERMANY",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",4
TECH21,"EVO CHECK CASE FOR SONY XPERIA Z5 COMPACT - T21-5131",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",30
TECH21,"EVO CHECK CASE FOR SONY XPERIA Z5 COMPACT - T21-5131 - FBA GERMANY",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",9
TECH21,"EVO CHECK DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 - T21-5218",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",40
TECH21,"EVO CHECK DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 - T21-5218 - FBA UK",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",4
TECH21,"EVO CHECK FLEX SHOCK SAMSUNG GALAXY S8+",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",29
TECH21,"EVO CHECK FOR GALAXY S8 - T21-5584",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",93
TECH21,"EVO DURABLE IMPACT RESISTANT CASE FOR IPHONE 5/5S/SE - T21-5278",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",23
TECH21,"EVO DURABLE IMPACT RESISTANT CASE FOR IPHONE 6/6S - T21-5153",Working,"Grade A - Very Good Condition","Not Applicable",Purple,"Not Applicable",10
TECH21,"EVO DURABLE IMPACT RESISTANT CASE FOR IPHONE SE - T21-5277",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",81
TECH21,"EVO DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 - T21-5219",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",40
TECH21,"EVO ELITE CASE FOR APPLE IPHONE 6/6S - T21-5202",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",35
TECH21,"EVO ELITE CASE FOR IPHONE 6/6S - T21-5201",Working,"Grade B - Good Condition","Not Applicable",Gold,"Not Applicable",62
TECH21,"EVO ELITE CASE FOR IPHONE 7 - T21-5336",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",20
TECH21,"EVO ELITE CASE FOR IPHONE 7 - T21-5337",Working,"Grade C - Acceptable Condition","Not Applicable",Gold,"Not Applicable",20
TECH21,"EVO ELITE PROTECTIVE CASE FOR SAMSUNG GALAXY S7 - T21-5256",Working,"Grade A - Very Good Condition","Not Applicable",Gold,"Not Applicable",33
TECH21,"EVO ELITE PROTECTIVE CASE FOR SAMSUNG GALAXY S7 - T21-5257",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",116
TECH21,"EVO FRAME DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 EDGE - T21-5236",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",60
TECH21,"EVO FRAME DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 EDGE - T21-5236 - FBA UK",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",3
TECH21,"EVO FRAME DURABLE IMPACT RESISTANT CASE FOR SAMSUNG GALAXY S7 EDGE - T21-5237",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",139
TECH21,"EVO FRAME FOR SAMSUNG GALAXY NOTE 7 - T21-5365",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",1
TECH21,"EVO FRAME FOR SAMSUNG GALAXY S6 EDGE PLUS - T21-4486",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",35
TECH21,"EVO FRAME WALLET CASE FOR SAMSUNG GALAXY S6 EDGE - T21-4438",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",34
TECH21,"EVO GLASS SCREEN PROTECTOR FOR APPLE IPHONE 6 PLUS/6S PLUS",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",29
TECH21,"EVO GLASS SCREEN PROTECTOR FOR APPLE IPHONE 6/6S","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",41
TECH21,"EVO GLASS SCREEN PROTECTOR FOR APPLE IPHONE 7 PLUS","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",1
TECH21,"EVO GLASS SCREEN PROTECTOR FOR IPHONE 7 - T21-5342","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",34
TECH21,"EVO GLASS SCREEN PROTECTOR FOR IPHONE 7 PLUS - T21-5361","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",21
TECH21,"EVO MESH CASE FOR APPLE IPHONE 5/5S/SE - T21-4600",Working,"Grade A - Very Good Condition","Not Applicable",Multicolour,"Not Applicable",10
TECH21,"EVO MESH CASE FOR APPLE IPHONE 5/5S/SE - T21-5276",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",40
TECH21,"EVO MESH CASE FOR IPHONE 6 PLUS/6S PLUS - T21-5312",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",2
TECH21,"EVO MESH DURABLE IMPACT RESISTANT CASE FOR IPHONE 6 AND 6S - T21-5009",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",40
TECH21,"EVO MESH FOR IPHONE 5/5S - T21-5169",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",5
TECH21,"EVO MESH FOR IPHONE 6 AND 6S - T21-5094",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",93
TECH21,"EVO MESH IMPACT RESISTANT CASE FOR IPHONE 6 PLUS/6S PLUS - T21-5018",Working,"Insurance Grade","Not Applicable",Blue,"Not Applicable",93
TECH21,"EVO MESH IMPACT RESISTANT CASE FOR IPHONE 6 PLUS/6S PLUS - T21-5095",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",67
TECH21,"EVO MESH IMPACT RESISTANT CASE FOR IPHONE 6/6S - T21-5008",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",110
TECH21,"EVO PATRIOT FOR IPAD AIR 2 - T21-5097",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",33
TECH21,"EVO PATRIOT FOR IPAD MINI 3 - T21-5098","Brand New","Brand New","Not Applicable",Black,"Not Applicable",89
TECH21,"EVO TACTICAL CASE FOR LG G4",Working,"Grade A - Very Good Condition","Not Applicable",Purple,"Not Applicable",1
TECH21,"EVO TACTICAL EXTREME EDITION FOR IPHONE 7 - T21-5333",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",30
TECH21,"EVO TACTICAL FOR APPLE IPHONE X - T21-5858",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",6
TECH21,"EVO TACTICAL FOR IPHONE 7 T21-5396",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",26
TECH21,"EVO TACTICAL FOR IPHONE 7 T21-5399",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",8
TECH21,"EVO TACTICAL FOR SAMSUNG GALAXY S6 - T21-4430",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TECH21,"EVO TACTICAL FOR SAMSUNG GALAXY S8 PLUS - T21-5614 ",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",10
TECH21,"EVO TACTICAL FOR SAMSUNG GALAXY S8- T21-5594",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",5
TECH21,"EVO TACTICAL XT FOR APPLE IPHONE 6/6S",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",40
TECH21,"EVO TACTICAL XT FOR APPLE IPHONE 7",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",5
TECH21,"EVO WALLET CASE FOR APPLE IPHONE 7 - T21-5339",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",12
TECH21,"EVO WALLET COVER CASE FOR APPLE IPHONE 7 - T21-5338",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",63
TECH21,"EVO WALLET COVER CASE FOR APPLE IPHONE 7 PLUS - T21-5357",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",175
TECH21,"EVO WALLET COVER CASE FOR APPLE IPHONE 7 PLUS - T21-5358",Working,"Grade B - Good Condition","Not Applicable",Pink,"Not Applicable",59
TECH21,"EVO WALLET DURABLE IMPACT RESISTANT FOLIO FLIP CASE FOR SAMSUNG GALAXY S7 - T21-5223",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",44
TECH21,"EVO WALLET DURABLE IMPACT RESISTANT FOLIO FLIP CASE FOR SAMSUNG GALAXY S7 EDGE - T21-5240",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",31
TECH21,"EVO WALLET FOR IPHONE 6/6S - T21-5101",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",17
TECH21,"EVO WALLET FOR SAMSUNG GALAXY NOTE 7 - T21-5367",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TECH21,"EVO WALLET FOR SAMSUNG GALAXY S8 - T21-5589",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",28
TECH21,"EVO WALLET FOR SAMSUNG GALAXY S8+ - T21-5609",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",19
TECH21,"FOLIO DURABLE IMPACT RESISTANT CASE COVER FOR APPLE IPAD AIR 2 - T21-4409",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",27
TECH21,"FOLIO DURABLE IMPACT RESISTANT CASE COVER FOR APPLE IPAD MINI 1 2 3 - T21-4413","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
TECH21,"IMPACT CASE FOR SAMSUNG GALAXY S7 - T21-5230",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",83
TECH21,"IMPACT CHECK FOR IPHONE 5C - T21-3719",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"IMPACT CLEAR CASE FOR IPHONE 5/5S/SE - T21-5280",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",139
TECH21,"IMPACT CLEAR CASE FOR IPHONE 6 AND 6S - T21-5196",Working,"Grade B - Good Condition","Not Applicable",Clear,"Not Applicable",34
TECH21,"IMPACT CLEAR CASE FOR IPHONE 6 AND 6S - T21-5196 - FBA UK",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",3
TECH21,"IMPACT CLEAR CASE FOR IPHONE 7 PLUS - T21-5350",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",120
TECH21,"IMPACT CLEAR CASE FOR IPHONE 7/8 - T21-5332",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",105
TECH21,"IMPACT CLEAR CASE FOR SAMSUNG GALAXY A5 (2017) T21-4605",Working,"Grade B - Good Condition","Not Applicable",Clear,"Not Applicable",19
TECH21,"IMPACT CLEAR FOR SAMSUNG GALAXY A3 (2017) - T21-4604",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",57
TECH21,"IMPACT FLIP CASE FOR IPHONE 5C","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",2
TECH21,"IMPACT FOLIO LEATHER CASE FOR IPAD 2/ 3RD GEN T21-1758","Brand New","Brand New","Not Applicable",Black,"Not Applicable",6
TECH21,"IMPACT FRAME FOR HTC ONE M8 - T21-3983",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",2
TECH21,"IMPACT MESH CASE COVER FOR SONY XPERIA Z2",Working,"Grade B - Good Condition","Not Applicable",Multicolour,"Not Applicable",38
TECH21,"IMPACT SHIELD","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"IMPACT SHIELD FOR IPAD 2ND/3RD GEN & IPAD RETINA (4TH GEN) - T21-3399",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"IMPACT SHIELD FOR IPHONE 5/5C/5S","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",2
TECH21,"IMPACT SHIELD SCREEN PROTECTOR FOR FOR SAMSUNG GALAXY NOTE II","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"IMPACT SHIELD SCREEN PROTECTOR FOR IPHONE 4/4S","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",1
TECH21,"IMPACT SHIELD SCREEN PROTECTOR FOR SONY XPERIA Z2","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",16
TECH21,"IMPACT SHIELD SCREEN PROTECTOR WITH SELF HEAL FOR IPHONE 7","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",2
TECH21,"IMPACT SHIELD SCREEN PROTECTOR WITH SELF HEAL FOR SAMSUNG GALAXY S5","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",11
TECH21,"IMPACT SHIELD SELF HEAL FOR IPHONE 7 - T21-5340","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",146
TECH21,"IMPACT SHIELD SELF HEAL FOR IPHONE 7 PLUS - T21-5359","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",150
TECH21,"IMPACT SHIELD SELF HEAL FOR SAMSUNG GALAXY A5 (2017)","Brand New","Insurance Grade","Not Applicable",Clear,"Not Applicable",12
TECH21,"IMPACT SHIELD SELF HEAL SCREEN PROTECTOR FOR SAMSUNG GALAXY A3 (2017) T21-4607","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",46
TECH21,"IMPACT SHIELD SELF-HEALING FOR SAMSUNG GALAXY S5 MINI","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",38
TECH21,"IMPACT SHIELD WITH SELF HEAL FOR IPAD AIR T21-3887","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",164
TECH21,"IMPACT SNAP FOR IPHONE 5/5S","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",2
TECH21,"IMPACT TACTICAL CASE FOR HTC ONE M8 - T21-3968","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
TECH21,"IMPACT TACTICAL FOR LG G3 - T21-4183",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
TECH21,"PATRIOT - T21-4269","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",41
TECH21,"PATRIOT CASE COVER FOR SAMSUNG GALAXY S6 - T21-4435","Brand New","Brand New","Not Applicable",Black,"Not Applicable",28
TECH21,"PATRIOT FOR IPAD AIR - T21-4060",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",2
TECH21,"PATRIOT FOR IPAD MINI WITH RETINA - T21-4061",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",3
TECH21,"PATRIOT FOR IPHONE 6 PLUS/6S PLUS - T21-4298",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",72
TECH21,"PURE CLEAR BULLETSHIELD IPHONE 7 CASE - T21-5779",Working,"Grade A - Very Good Condition","Not Applicable",Clear,"Not Applicable",39
TECH21,"SCREEN PROTECTOR FOR IPHONE 5/5C/5S - T21-3748",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",17
TECH21,"SCREEN PROTECTOR FOR IPHONE 5/5S/SE - T21-5281","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",222
TECH21,"SCREEN PROTECTOR FOR IPHONE 6/6S - T21-4244","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",390
TECH21,"SCREEN PROTECTOR FOR IPHONE 6/6S PLUS - T21-4273","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",270
TECH21,"SCREEN PROTECTOR FOR LG G4 - T21-4450",Working,"Insurance Grade","Not Applicable",Clear,"Not Applicable",103
TECH21,"SCREEN PROTECTOR FOR LG G5 - T21-4530","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",3
TECH21,"SCREEN PROTECTOR FOR SAMSUNG GALAXY S6 - T21-4433","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",80
